net,length_um
_1286_,17.4
data_o[2],17.37
u_viterbi_core.u_tbu.history_s1\[10\],17.36
u_input_fifo.mem\[1\]\[4\],17.28
_1103_,17.16
_1104_,17.06
u_viterbi_core.u_tbu.history_s2\[7\],17.04
u_input_fifo.rd_data_o\[12\],17
_1419_,16.94
_0980_,16.9
_1262_,16.88
_0888_,16.86
_0832_,16.84
u_viterbi_core.u_tbu.latency_counter\[0\],16.82
_0706_,16.78
net36,16.78
_0633_,16.76
_0708_,16.72
_0782_,16.64
_1350_,16.62
u_input_fifo.mem\[5\]\[0\],16.565
u_viterbi_core.u_tbu.latency_counter\[1\],16.5
_0921_,16.48
u_input_fifo.mem\[15\]\[14\],16.48
u_input_fifo.mem\[4\]\[5\],16.48
u_input_fifo.mem\[9\]\[12\],16.48
_0681_,16.46
u_viterbi_core.u_tbu.history_s3\[14\],16.44
_1059_,16.4
u_input_fifo.mem\[11\]\[4\],16.36
_1588_,16.3
_0762_,16.24
u_input_fifo.mem\[0\]\[7\],16.14
_0912_,16.1
u_input_fifo.mem\[9\]\[0\],16.1
u_piso.shift_reg\[2\],16.08
_0735_,15.98
_0856_,15.96
_0710_,15.94
_0910_,15.94
net89,15.9
_1234_,15.86
u_piso.shift_reg\[6\],15.86
u_viterbi_core.u_tbu.history_s3\[9\],15.82
_0853_,15.72
_0891_,15.7
_0902_,15.7
_0957_,15.7
net41,15.685
_0724_,15.68
_0837_,15.68
u_input_fifo.mem\[2\]\[12\],15.68
_0600_,15.62
u_input_fifo.mem\[8\]\[1\],15.6
u_input_fifo.mem\[8\]\[5\],15.56
_0636_,15.475
_1423_,15.42
_1075_,15.34
_1063_,15.32
_1190_,15.28
u_input_fifo.mem\[10\]\[14\],15.245
_0707_,15.24
u_input_fifo.mem\[5\]\[7\],15.22
_0970_,15.18
_1426_,15.12
_0799_,15.06
u_input_fifo.mem\[6\]\[10\],15.06
_1283_,15.05
_1130_,15
_0756_,14.98
_0936_,14.98
_1112_,14.98
_0825_,14.94
u_input_fifo.mem\[3\]\[11\],14.94
_0982_,14.92
_0983_,14.9
_0722_,14.88
u_input_fifo.mem\[8\]\[9\],14.88
_1381_,14.84
u_input_fifo.mem\[4\]\[14\],14.8
_0906_,14.78
_0913_,14.705
u_input_fifo.mem\[6\]\[2\],14.64
u_input_fifo.mem\[4\]\[0\],14.6
u_input_fifo.mem\[9\]\[8\],14.565
u_input_fifo.mem\[5\]\[9\],14.56
_1144_,14.54
_0816_,14.48
_1393_,14.46
u_input_fifo.mem\[13\]\[0\],14.44
u_input_fifo.mem\[3\]\[6\],14.44
u_viterbi_core.u_tbu.history_s0\[2\],14.44
u_viterbi_core.u_tbu.history_s1\[8\],14.42
u_input_fifo.mem\[1\]\[3\],14.4
u_input_fifo.mem\[15\]\[10\],14.38
